City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
3,3,Rikitea,PF,2021-11-21 21:00:45,-23.1203,-134.9692,73.54,66,0,6.49
5,5,Adre,TD,2021-11-21 21:05:27,13.4667,22.2,71.76,22,28,12.77
6,6,Castro,BR,2021-11-21 21:00:55,-24.7911,-50.0119,70.84,57,9,3.18
8,8,Honiara,SB,2021-11-21 21:02:43,-9.4333,159.95,82.58,71,2,3.36
11,11,Saint-Philippe,RE,2021-11-21 21:05:29,-21.3585,55.7679,73.22,75,4,6.24
13,13,Georgetown,MY,2021-11-21 20:56:37,5.4112,100.3354,78.89,93,40,3.0
14,14,Santa Maria,BR,2021-11-21 21:05:30,-29.6842,-53.8069,83.48,42,0,3.91
18,18,Hithadhoo,MV,2021-11-21 21:05:30,-0.6,73.0833,81.14,78,100,10.25
20,20,Atuona,PF,2021-11-21 21:00:36,-9.8,-139.0333,78.48,74,81,12.53
21,21,Souillac,MU,2021-11-21 21:05:31,-20.5167,57.5167,75.36,88,40,3.44
23,23,Correntina,BR,2021-11-21 21:05:32,-13.3433,-44.6367,79.2,66,99,2.33
24,24,Hilo,US,2021-11-21 20:58:28,19.7297,-155.09,78.8,80,100,4.0
26,26,Camopi,GF,2021-11-21 21:05:32,3.1655,-52.3158,80.58,70,99,3.22
28,28,Coahuayana,MX,2021-11-21 21:01:48,18.7333,-103.6833,89.33,50,1,6.38
34,34,Puerto Ayora,EC,2021-11-21 21:05:35,-0.7393,-90.3518,76.96,82,62,8.99
41,41,Hambantota,LK,2021-11-21 21:05:36,6.1241,81.1185,75.51,82,76,10.8
42,42,Sao Filipe,CV,2021-11-21 21:05:37,14.8961,-24.4956,81.12,68,100,7.65
44,44,Merauke,ID,2021-11-21 21:06:38,-8.4667,140.3333,79.38,87,48,8.93
45,45,Necochea,AR,2021-11-21 21:06:38,-38.5473,-58.7368,74.03,52,66,13.65
49,49,Mount Isa,AU,2021-11-21 21:06:39,-20.7333,139.5,78.57,36,8,8.05
51,51,Banda Aceh,ID,2021-11-21 21:06:40,5.5577,95.3222,78.33,80,82,4.81
52,52,San Patricio,US,2021-11-21 21:06:40,28.017,-97.5169,86.18,58,64,12.91
53,53,Vaini,TO,2021-11-21 21:06:40,-21.2,-175.2,86.16,79,20,5.75
54,54,Avarua,CK,2021-11-21 21:06:41,-21.2078,-159.775,80.65,74,90,11.5
55,55,Kavieng,PG,2021-11-21 21:06:41,-2.5744,150.7967,83.41,70,95,11.52
61,61,Belmonte,BR,2021-11-21 21:06:43,-15.8631,-38.8828,72.1,89,50,3.38
63,63,Muli,MV,2021-11-21 21:06:43,2.9167,73.5667,81.27,79,93,14.23
66,66,Keti Bandar,PK,2021-11-21 21:06:44,24.1447,67.4497,74.71,23,67,12.62
69,69,Bathsheba,BB,2021-11-21 21:06:45,13.2167,-59.5167,80.01,74,100,10.29
70,70,Waingapu,ID,2021-11-21 21:06:46,-9.6567,120.2641,79.74,78,77,3.29
72,72,Bambous Virieux,MU,2021-11-21 21:06:46,-20.3428,57.7575,75.22,88,40,3.44
73,73,Maldonado,UY,2021-11-21 21:02:00,-34.6667,-54.9167,82.22,39,63,10.89
77,77,Bilma,NE,2021-11-21 21:06:47,18.6853,12.9164,78.73,21,4,7.23
78,78,Valdosta,US,2021-11-21 21:06:48,30.8327,-83.2785,73.31,62,40,3.44
81,81,Adrar,MR,2021-11-21 21:06:49,20.5022,-10.0711,79.77,25,94,3.91
82,82,Bosaso,SO,2021-11-21 21:06:49,11.2842,49.1816,76.19,77,98,3.09
86,86,Victoria,HK,2021-11-21 21:05:08,22.2855,114.1577,75.33,89,35,4.0
87,87,Praia,CV,2021-11-21 21:06:50,14.9215,-23.5087,79.34,69,0,19.57
88,88,Kapaa,US,2021-11-21 21:00:39,22.0752,-159.319,81.19,70,9,1.01
89,89,East London,ZA,2021-11-21 21:00:43,-33.0153,27.9116,70.02,87,100,22.19
91,91,Arraial Do Cabo,BR,2021-11-21 21:05:37,-22.9661,-42.0278,71.46,64,75,5.75
100,100,Dingle,PH,2021-11-21 21:07:54,10.9995,122.6711,76.24,93,49,4.74
105,105,Wawa,NG,2021-11-21 21:07:55,9.9022,4.4192,81.88,30,3,3.36
111,111,Agua Buena,PA,2021-11-21 21:07:56,7.8167,-80.4,81.54,99,99,3.67
113,113,Ongandjera,,2021-11-21 21:07:57,-17.8833,15.0667,79.21,16,5,15.35
115,115,Diffa,NE,2021-11-21 21:07:58,13.3154,12.6113,81.01,20,100,7.18
117,117,Kavaratti,IN,2021-11-21 21:07:59,10.5669,72.642,80.85,73,11,8.08
118,118,Cayenne,GF,2021-11-21 21:07:59,4.9333,-52.3333,81.09,84,20,1.99
121,121,Pangai,TO,2021-11-21 21:08:00,-19.8,-174.35,79.95,78,52,9.13
123,123,Jalpan,MX,2021-11-21 21:08:00,21.2333,-99.4833,78.22,51,2,3.56
124,124,Thai Nguyen,VN,2021-11-21 21:08:01,21.5928,105.8442,73.18,85,100,6.62
130,130,Kendari,ID,2021-11-21 21:08:03,-3.945,122.4989,75.6,92,77,2.3
131,131,Male,MV,2021-11-21 21:04:56,4.1748,73.5089,81.45,75,54,15.55
133,133,Doha,QA,2021-11-21 21:08:04,25.2867,51.5333,78.78,74,0,8.05
134,134,Mareeba,AU,2021-11-21 21:08:05,-17.0,145.4333,72.45,84,9,1.57
138,138,Pouebo,NC,2021-11-21 21:09:07,-20.4,164.5667,78.76,63,0,1.34
140,140,Salalah,OM,2021-11-21 21:09:07,17.0151,54.0924,75.54,67,100,2.04
143,143,Boundiali,CI,2021-11-21 21:09:08,9.5217,-6.4869,77.83,25,6,1.01
147,147,Kaeo,NZ,2021-11-21 21:09:09,-35.1,173.7833,71.33,85,100,5.75
155,155,Bandarbeyla,SO,2021-11-21 21:09:11,9.4942,50.8122,76.84,69,26,13.49
164,164,Axim,GH,2021-11-21 21:09:17,4.8699,-2.2405,79.68,85,68,4.92
167,167,Namatanai,PG,2021-11-21 21:09:18,-3.6667,152.4333,81.09,81,96,7.05
168,168,Brumado,BR,2021-11-21 21:09:19,-14.2036,-41.6653,82.18,55,99,3.49
169,169,Bundaberg,AU,2021-11-21 21:09:19,-24.85,152.35,77.22,74,84,7.0
170,170,Bartica,GY,2021-11-21 21:09:19,6.4,-58.6167,80.92,94,100,2.08
173,173,Vaitape,PF,2021-11-21 21:09:20,-16.5167,-151.75,79.57,67,15,10.22
178,178,Contamana,PE,2021-11-21 21:09:22,-7.3333,-75.0167,80.49,79,100,5.5
182,182,Morondava,MG,2021-11-21 21:09:23,-20.2833,44.2833,80.33,79,77,6.55
187,187,Loiza,PR,2021-11-21 21:10:25,18.4313,-65.8802,82.81,74,40,13.8
190,190,Chuy,UY,2021-11-21 21:10:27,-33.6971,-53.4616,83.89,46,4,8.95
193,193,Cabo San Lucas,MX,2021-11-21 21:10:02,22.8909,-109.9124,85.51,57,20,6.91
194,194,Sao Joao Da Barra,BR,2021-11-21 21:10:28,-21.6403,-41.0511,73.49,71,100,10.69
198,198,Pinheiro Machado,BR,2021-11-21 21:10:29,-31.5783,-53.3811,82.06,48,0,2.37
201,201,Port Elizabeth,ZA,2021-11-21 21:10:30,-33.918,25.5701,70.11,88,99,16.35
202,202,Tucurui,BR,2021-11-21 21:10:30,-3.7661,-49.6725,81.55,76,84,2.71
206,206,Amapa,BR,2021-11-21 21:10:31,1.0,-52.0,77.4,82,99,2.46
207,207,Chandler,US,2021-11-21 21:06:13,33.3062,-111.8412,83.66,15,75,5.99
209,209,Ugoofaaru,MV,2021-11-21 21:10:32,5.6667,73.0,81.18,75,92,13.71
213,213,Faanui,PF,2021-11-21 21:10:34,-16.4833,-151.75,79.59,67,15,10.22
218,218,Butaritari,KI,2021-11-21 21:10:35,3.0707,172.7902,80.8,79,35,8.16
219,219,Kawalu,ID,2021-11-21 21:10:36,-7.3817,108.2082,72.59,95,86,2.13
226,226,Phayakkhaphum Phisai,TH,2021-11-21 21:10:38,15.5163,103.1937,77.41,76,20,5.93
227,227,Saint-Joseph,RE,2021-11-21 21:10:38,-21.3667,55.6167,72.21,77,8,5.99
230,230,Marica,BR,2021-11-21 21:11:39,-22.9194,-42.8186,72.86,70,51,7.18
235,235,Biak,ID,2021-11-21 21:11:41,-0.9131,122.8766,76.5,82,59,1.19
236,236,Papetoai,PF,2021-11-21 21:11:41,-17.4961,-149.8729,83.79,66,19,7.63
240,240,Kieta,PG,2021-11-21 21:11:42,-6.2167,155.6333,82.17,74,15,2.35
241,241,Mvomero,TZ,2021-11-21 21:11:42,-6.25,38.6667,72.7,89,2,1.81
244,244,Eldorado,BR,2021-11-21 21:11:43,-23.7869,-54.2836,82.26,52,4,5.41
248,248,Tiquisate,GT,2021-11-21 21:11:44,14.2833,-91.3667,84.54,63,90,8.19
256,256,Mahajanga,MG,2021-11-21 21:11:47,-15.7167,46.3167,80.67,78,17,10.98
257,257,Bombay,IN,2021-11-21 21:10:20,19.0144,72.8479,78.78,94,75,5.75
258,258,Katherine,AU,2021-11-21 21:11:47,-14.4667,132.2667,80.92,78,100,5.75
260,260,Sampit,ID,2021-11-21 21:11:48,-2.5333,112.95,73.62,97,99,0.49
263,263,Barreirinhas,BR,2021-11-21 21:11:49,-2.7469,-42.8264,81.25,71,32,11.74
269,269,Half Moon Bay,US,2021-11-21 21:06:58,37.4636,-122.4286,72.48,51,1,9.22
272,272,Alofi,NU,2021-11-21 21:11:54,-19.0595,-169.9187,78.62,79,26,11.79
276,276,Mahebourg,MU,2021-11-21 21:12:55,-20.4081,57.7,75.25,88,40,3.44
278,278,Kahului,US,2021-11-21 21:09:49,20.8947,-156.47,84.22,63,1,12.66
280,280,Veraval,IN,2021-11-21 21:12:56,20.9,70.3667,81.48,65,98,8.75
281,281,Ahuimanu,US,2021-11-21 21:12:57,21.4447,-157.8378,84.78,56,20,12.66
284,284,Gizo,SB,2021-11-21 21:12:58,-8.103,156.8419,83.44,73,11,10.45
285,285,Petauke,ZM,2021-11-21 21:12:58,-14.2426,31.3253,77.32,49,81,8.63
288,288,Abong Mbang,CM,2021-11-21 21:13:02,3.9833,13.1833,70.48,81,70,2.28
289,289,Marsh Harbour,BS,2021-11-21 21:13:02,26.5412,-77.0636,77.29,79,42,16.17
290,290,Salta,AR,2021-11-21 21:13:03,-24.7859,-65.4117,88.57,33,65,5.99
293,293,Maumere,ID,2021-11-21 21:13:04,-8.6199,122.2111,80.87,78,93,0.87
294,294,San Cristobal,VE,2021-11-21 21:13:04,7.7669,-72.225,75.38,60,89,3.89
295,295,Malakal,SS,2021-11-21 21:13:05,9.5334,31.6605,78.35,21,65,7.16
300,300,Birao,CF,2021-11-21 21:13:06,10.2849,22.7882,71.67,26,49,5.68
302,302,Puerto Escondido,MX,2021-11-21 21:13:07,15.85,-97.0667,85.03,70,1,8.05
305,305,Katobu,ID,2021-11-21 21:13:08,-4.9408,122.5276,74.16,92,97,1.43
308,308,Richards Bay,ZA,2021-11-21 21:13:09,-28.783,32.0377,71.31,77,100,13.18
310,310,Edeia,BR,2021-11-21 21:11:39,-17.3383,-49.9314,76.23,79,83,1.45
312,312,Lorengau,PG,2021-11-21 21:13:10,-2.0226,147.2712,82.36,74,67,2.46
313,313,Timon,BR,2021-11-21 21:13:11,-5.0942,-42.8367,89.38,55,0,5.75
314,314,Touros,BR,2021-11-21 21:13:11,-5.1989,-35.4608,81.5,74,13,13.69
315,315,Iracoubo,GF,2021-11-21 21:13:11,5.4802,-53.2011,80.28,79,46,8.12
316,316,Hervey Bay,AU,2021-11-21 21:13:12,-25.2986,152.8535,77.04,80,67,3.0
317,317,Altamira,BR,2021-11-21 21:14:12,-3.2033,-52.2064,77.29,90,91,3.49
320,320,Alta Floresta,BR,2021-11-21 21:14:13,-9.8756,-56.0861,77.36,92,88,3.78
321,321,Bengkulu,ID,2021-11-21 21:14:14,-3.8004,102.2655,76.5,89,100,4.27
322,322,Saint-Pierre,RE,2021-11-21 21:14:14,-21.3393,55.4781,73.29,76,0,4.61
338,338,Gorontalo,ID,2021-11-21 21:14:20,0.5412,123.0595,74.26,93,58,3.18
341,341,Itarema,BR,2021-11-21 21:14:21,-2.9248,-39.9167,80.62,73,3,14.65
342,342,Trairi,BR,2021-11-21 21:12:25,-3.2778,-39.2689,80.38,74,8,10.87
346,346,Ciudad Bolivar,VE,2021-11-21 21:14:22,8.1222,-63.5497,86.27,58,100,7.09
349,349,Port Blair,IN,2021-11-21 21:14:23,11.6667,92.75,81.09,83,20,8.01
353,353,Xai-Xai,MZ,2021-11-21 21:14:25,-25.0519,33.6442,71.47,73,100,9.17
359,359,Pitimbu,BR,2021-11-21 21:10:22,-7.4706,-34.8086,81.19,73,94,10.22
362,362,Grand Gaube,MU,2021-11-21 21:15:27,-20.0064,57.6608,75.38,73,53,12.66
363,363,Lompoc,US,2021-11-21 21:15:28,34.6391,-120.4579,84.78,25,1,12.66
365,365,North Shore,NZ,2021-11-21 21:15:28,-36.8,174.75,73.9,80,100,5.01
367,367,Taoudenni,ML,2021-11-21 21:15:29,22.6783,-3.9836,81.37,25,94,7.7
373,373,Dakar,SN,2021-11-21 21:15:31,14.6937,-17.4441,79.68,89,0,6.91
377,377,Maceio,BR,2021-11-21 21:15:32,-9.6658,-35.7353,81.84,74,0,8.05
381,381,Ligayan,PH,2021-11-21 21:15:33,4.6533,119.4706,83.61,69,39,3.06
382,382,Saint-Georges,GD,2021-11-21 21:15:34,12.0564,-61.7485,82.08,78,20,17.27
385,385,Sindgi,IN,2021-11-21 21:15:35,16.9167,76.2333,73.49,86,73,5.7
386,386,Ahipara,NZ,2021-11-21 21:15:35,-35.1667,173.1667,70.21,76,100,2.59
388,388,Kaohsiung,TW,2021-11-21 21:15:36,22.6163,120.3133,73.35,87,40,1.01
389,389,Cidreira,BR,2021-11-21 21:15:36,-30.1811,-50.2056,72.05,69,0,11.41
390,390,Port Keats,AU,2021-11-21 21:15:36,-14.25,129.55,84.04,76,100,8.28
391,391,Nanakuli,US,2021-11-21 21:15:37,21.3906,-158.1547,84.15,55,75,10.36
392,392,Puerto Ayacucho,VE,2021-11-21 21:15:37,5.6639,-67.6236,79.38,79,100,4.21
393,393,Canto Do Buriti,BR,2021-11-21 21:15:37,-8.11,-42.9444,87.85,34,45,3.4
394,394,Buala,SB,2021-11-21 21:15:37,-8.145,159.5921,83.23,74,24,6.89
397,397,Padang,ID,2021-11-21 21:15:38,-0.9492,100.3543,77.86,84,100,5.84
398,398,Cap Malheureux,MU,2021-11-21 21:15:39,-19.9842,57.6142,75.47,73,48,12.73
403,403,Puerto Baquerizo Moreno,EC,2021-11-21 21:15:40,-0.9,-89.6,74.39,64,75,13.8
404,404,Antalaha,MG,2021-11-21 21:15:41,-14.9003,50.2788,74.77,79,58,1.99
405,405,Moussoro,TD,2021-11-21 21:15:41,13.6408,16.4901,83.53,15,59,10.25
406,406,Progreso,MX,2021-11-21 21:15:41,21.2833,-89.6667,86.11,72,10,12.88
408,408,Yorosso,ML,2021-11-21 21:15:42,12.3536,-4.7761,79.74,14,5,8.59
410,410,Paita,PE,2021-11-21 21:16:42,-5.0892,-81.1144,70.36,74,61,14.72
411,411,Ayorou,NE,2021-11-21 21:16:43,14.7308,0.9174,85.62,13,25,7.9
419,419,Kuah,MY,2021-11-21 21:16:45,6.3265,99.8432,76.98,94,20,0.0
423,423,Keelung,TW,2021-11-21 21:16:46,25.1283,121.7419,72.12,91,62,17.81
426,426,Sisophon,KH,2021-11-21 21:16:47,13.5859,102.9737,74.79,94,75,1.83
427,427,Cockburn Town,TC,2021-11-21 21:15:01,21.4612,-71.1419,82.36,69,40,9.22
429,429,Venezuela,VE,2021-11-21 21:16:48,8.0,-66.0,87.82,51,100,4.47
435,435,Abadiania,BR,2021-11-21 21:16:50,-16.2042,-48.7069,70.72,87,99,2.33
438,438,Pundaguitan,PH,2021-11-21 21:16:51,6.3711,126.1689,82.65,75,90,6.13
445,445,Meulaboh,ID,2021-11-21 21:16:53,4.1363,96.1285,75.25,89,100,3.11
446,446,Ngaoundere,CM,2021-11-21 21:16:54,7.3167,13.5833,70.68,35,76,2.71
448,448,Matara,LK,2021-11-21 21:16:54,5.9485,80.5353,74.37,88,59,8.88
450,450,Manokwari,ID,2021-11-21 21:16:55,-0.8667,134.0833,78.91,72,98,3.8
452,452,Careiro Da Varzea,BR,2021-11-21 21:16:57,-3.2003,-59.8119,84.81,77,65,1.48
453,453,Umm Lajj,SA,2021-11-21 21:16:58,25.0213,37.2685,71.85,51,0,10.04
454,454,Vanimo,PG,2021-11-21 21:16:58,-2.6741,141.3028,77.56,89,99,3.8
457,457,Isabela,PH,2021-11-21 21:16:59,6.7085,121.9711,75.25,86,87,1.79
459,459,Kumhari,IN,2021-11-21 21:17:59,21.2667,81.5167,75.09,68,58,6.49
461,461,Kapit,MY,2021-11-21 21:18:00,2.0167,112.9333,73.94,98,100,1.03
462,462,Oranjestad,AW,2021-11-21 21:14:45,12.524,-70.027,84.15,70,40,12.66
